"nome","partido","uf","cargo","sequencial"
"LIBERMAN BICHARA MORENO","PPS","AM","DEPUTADO ESTADUAL",40000000220
"LILIANE ARAUJO DE ALMEIDA","PPS","AM","DEPUTADO ESTADUAL",40000000221
"LÚCIO GLÁUCIO MENDONÇA DE ALMEIDA","PPS","AM","DEPUTADO ESTADUAL",40000000222
"LUIZ CASTRO ANDRADE NETO","PPS","AM","DEPUTADO ESTADUAL",40000000223
"MARCIO FLEURY MENDES","PPS","AM","DEPUTADO ESTADUAL",40000000224
"MARCIO MOÇAMBITE DE OLIVEIRA","PPS","AM","DEPUTADO ESTADUAL",40000000225
"MARIA DO ROSARIO OLIVEIRA BASTOS","PPS","AM","DEPUTADO ESTADUAL",40000000226
"ODER COELHO AURELIO","PPS","AM","DEPUTADO ESTADUAL",40000000227
"OZILENE SILVA TAVARES","PPS","AM","DEPUTADO ESTADUAL",40000000228
"RAIMUNDO NONATO DE FRANÇA FONSECA","PPS","AM","DEPUTADO ESTADUAL",40000000229
"SOCORRO RIBEIRO DE MATOS","PPS","AM","DEPUTADO ESTADUAL",40000000230
"VERANILDE PEREIRA CUNHA","PPS","AM","DEPUTADO ESTADUAL",40000000231
"VIVALDO DA SILVA CORREA","PPS","AM","DEPUTADO ESTADUAL",40000000232
"VLADIMIR MITSUO TAKEDA","PPS","AM","DEPUTADO ESTADUAL",40000000233
"MARCIO MARQUES DA SILVA","PPS","AM","DEPUTADO ESTADUAL",40000000234
"MIGUEL CARRATTE NETO","PV","AM","DEPUTADO ESTADUAL",40000000235
"FERNANDO DE SOUSA CRUZ","PV","AM","DEPUTADO ESTADUAL",40000000236
"JOSE MOISÉS CASTANHEIRO AMORIM","PV","AM","DEPUTADO ESTADUAL",40000000237
"JOÃO MESSIAS DA SILVA FURTADO","PV","AM","DEPUTADO ESTADUAL",40000000238
"JOSE MARIO COSTA PEREIRA","PV","AM","DEPUTADO ESTADUAL",40000000239
"FELIX DE MELO FERREIRA","PV","AM","DEPUTADO ESTADUAL",40000000240
"JOSE MELO NASCIMENTO","PV","AM","DEPUTADO ESTADUAL",40000000241
"EDIVAN COSTA DO NASCIMENTO","PV","AM","DEPUTADO ESTADUAL",40000000242
"EVERALDO FARIAS LIMA","PV","AM","DEPUTADO ESTADUAL",40000000243
"PEDRO NUNES OLIVEIRA","PV","AM","DEPUTADO ESTADUAL",40000000244
"CÂNDIDO HONÓRIO FERREIRA FILHO","PV","AM","DEPUTADO ESTADUAL",40000000245
"DANIEL LIMA NERI","PV","AM","DEPUTADO ESTADUAL",40000000246
"ANDREY LUCIO OLIVEIRA ARCOS","PV","AM","DEPUTADO ESTADUAL",40000000247
"NATANIEL DE SOUZA BARROS JUNIOR","PV","AM","DEPUTADO ESTADUAL",40000000248
"REGINALDO AZEVEDO RAMOS","PV","AM","DEPUTADO ESTADUAL",40000000249
"ONACIO DANIS FERREIRA DA COSTA","PV","AM","DEPUTADO ESTADUAL",40000000250
"ROBERTO BARRETO DE SOUZA","PV","AM","DEPUTADO ESTADUAL",40000000251
"JUCINEI SIQUEIRA BARBOSA","PV","AM","DEPUTADO ESTADUAL",40000000252
"JONAS DE SOUZA OLIVEIRA","PV","AM","DEPUTADO ESTADUAL",40000000253
"MARTIONEZ FERNANDES GOMES","PV","AM","DEPUTADO ESTADUAL",40000000254
"ROBELSON OLIVEIRA DE LIMA","PV","AM","DEPUTADO ESTADUAL",40000000255
"MARCELO LIMA DOS SANTOS","PV","AM","DEPUTADO ESTADUAL",40000000256
"PLATINY SOARES LOPES","PV","AM","DEPUTADO ESTADUAL",40000000257
"FRANCISCO FERREIRA DA SILVA","PV","AM","DEPUTADO ESTADUAL",40000000258
"LOURENÇO AZEVEDO DA SILVA","PV","AM","DEPUTADO ESTADUAL",40000000259
"VENÂNCIO SILVA FREITAS","PV","AM","DEPUTADO ESTADUAL",40000000260
"RENATO FERREIRA DO NASCIMENTO","PV","AM","DEPUTADO ESTADUAL",40000000261
"WALDICLEISON NOGUEIRA PINHEIRO","PV","AM","DEPUTADO ESTADUAL",40000000262
"JURACELI PORTELA DE SOUZA","PV","AM","DEPUTADO ESTADUAL",40000000263
"MIRIAN DUARTE LEÃO BECK","PV","AM","DEPUTADO ESTADUAL",40000000264
"YASMINE NASCIMENTO DA COSTA BASTOS","PV","AM","DEPUTADO ESTADUAL",40000000265
"MARIA GUIMARÃES MAIA","PV","AM","DEPUTADO ESTADUAL",40000000266
"ANTONIO JOSÉ SANTOS DE SOUZA","PV","AM","DEPUTADO ESTADUAL",40000000267
"MARCIA MARTINS SOARES","PV","AM","DEPUTADO ESTADUAL",40000000268
"GIZELE DA SILVA SAMPAIO","PV","AM","DEPUTADO ESTADUAL",40000000269
"MARIA VERONICA TELES DE FRANÇA","PV","AM","DEPUTADO ESTADUAL",40000000270
"MARINETE GUEDES MACIEL","PV","AM","DEPUTADO ESTADUAL",40000000271
"MARIA DAS GRAÇAS COSTA DE LIMA","PTC","AM","DEPUTADO ESTADUAL",40000000272
