nome,partido,uf,cargo,sequencial
"JOÃO LOCO BATISTA DE SIQUEIRA",PEN,SP,"DEPUTADO FEDERAL",250000003068
"CARLOS HENRIQUE MARTINS DE OLIVEIRA",PEN,SP,"DEPUTADO FEDERAL",250000003065
"BENEDITO RODRIGUES CORREA",PEN,SP,"DEPUTADO FEDERAL",250000003062
"DIEGO GOMES FREITAS",PEN,SP,"DEPUTADO FEDERAL",250000003060
"ADILSON MARCOS NICOLETTI",PEN,SP,"DEPUTADO FEDERAL",250000003059
"MAYARA GONÇALVES DA SILVA THOMAZINI",PRTB,SP,"DEPUTADO FEDERAL",250000002305
"MARIA ROSIMEIRE DA SILVA",PMN,SP,"DEPUTADO ESTADUAL",250000000332
"ANA MARIA DO CARMO ROSSETO",PT,SP,"DEPUTADO ESTADUAL",250000000510
"FELIPE FREITAS DE ASSIS",PRTB,SP,"DEPUTADO ESTADUAL",250000002316
"ANTONIO AUGUSTO PORTO",PT,SP,"DEPUTADO ESTADUAL",250000000604
"MARCIO CESAR DE SOUZA",PT,SP,"DEPUTADO ESTADUAL",250000000566
"LUIS ALBERTO DOMINGOS CAMPANA",PSOL,SP,"DEPUTADO FEDERAL",250000001816
"MARIA LUCIA BORGES",PHS,SP,"DEPUTADO ESTADUAL",250000003359
"CARLOS PAZ DE SOUZA CASTRO",PV,SP,"DEPUTADO ESTADUAL",250000001009
"CLELIA GOMES DA SILVA",PHS,SP,"DEPUTADO ESTADUAL",250000003301
"BRAZ DOS SANTOS ADEGAS JUNIOR",PTN,SP,"DEPUTADO ESTADUAL",250000000176
"MARCELO RICARDO MARIANO",PP,SP,"DEPUTADO FEDERAL",250000002163
"DANILO PEREIRA NICANOR",PV,SP,"DEPUTADO ESTADUAL",250000001016
"LEDINALVA SANTANA SANTOS",PSC,SP,"DEPUTADO ESTADUAL",250000000432
"ADRIANA APARECIDA PAONE",PSOL,SP,"DEPUTADO FEDERAL",250000001767
"ANA LUCIA GIRASOLI DE OLIVEIRA AKASAWA",PRP,SP,"DEPUTADO ESTADUAL",250000002780
"CARMELA ANDREA VILARDO",PTB,SP,"DEPUTADO FEDERAL",250000002503
"SALVADOR ISSA GONZALEZ",PMDB,SP,"DEPUTADO ESTADUAL",250000002729
"LUIS GUSTAVO COSTA VELANI",PV,SP,"DEPUTADO ESTADUAL",250000001050
"JONATHAS REGINALDO DA SILVA GONÇALVES",PHS,SP,"DEPUTADO ESTADUAL",250000003318
"JANIO CARVALHO SANTOS",PDT,SP,"DEPUTADO ESTADUAL",250000002028
"LILIAN BLECH HAMAOUI",PMDB,SP,"DEPUTADO FEDERAL",250000002141
"IVETA DE SOUZA ALVES",PHS,SP,"DEPUTADO ESTADUAL",250000003342
"FABIO CESAR SATO",PPS,SP,"DEPUTADO ESTADUAL",250000001612
"MARLENE SANTANA MIRA",PRB,SP,"DEPUTADO FEDERAL",250000001256
"CAMILA VERONICA SPERANDIO DE ALMEIDA",PDT,SP,"DEPUTADO ESTADUAL",250000002051
"ADRIANA SANCHES GALDEANO BORGO",PDT,SP,"DEPUTADO ESTADUAL",250000002009
"ARLEM SPENCER SCORSATO",PMN,SP,"DEPUTADO FEDERAL",250000000284
"FRANCISCO MARCIO DE CARVALHO",PSB,SP,"DEPUTADO FEDERAL",250000001471
"MARIA APARECIDA DE SOUSA BARROS",PDT,SP,"DEPUTADO FEDERAL",250000002079
"JOSÉ ROBERTO CEZARIO",PRTB,SP,"DEPUTADO ESTADUAL",250000002322
"JOSÉ MANOEL FERREIRA GONÇALVES",PEN,SP,"DEPUTADO FEDERAL",250000003090
"RAIMUNDO NONATO DO CARMO FILHO",PHS,SP,"DEPUTADO ESTADUAL",250000003415
"JOSE HENRIQUE JORDÃO",PV,SP,"DEPUTADO ESTADUAL",250000001042
"TABATA CRISTINA GONÇALVES DO CARMO",PEN,SP,"DEPUTADO ESTADUAL",250000003089
"SEVERINO CASSIANO DE ASSIS",PROS,SP,"DEPUTADO ESTADUAL",250000003987
"RENATO MORENI AIRES DA SILVA",PT,SP,"DEPUTADO ESTADUAL",250000000584
"JOÃO BATISTA BIANCHINI",PTB,SP,"DEPUTADO FEDERAL",250000002510
"MIRIAM APARECIDA DA SILVA",PPL,SP,"DEPUTADO ESTADUAL",250000002218
"FLÁVIA DE JESUS COSTA","PC do B",SP,"DEPUTADO ESTADUAL",250000000063
"LUIZ SERAFIM SANTOS JUNIOR",PSDC,SP,"DEPUTADO ESTADUAL",250000003889
"LUANA ALMEIDA OLIVEIRA",PSB,SP,"DEPUTADO ESTADUAL",250000003935
"PAULO ROGERIO DE SOUZA FALCIROLLI",PSDC,SP,"DEPUTADO FEDERAL",250000003781
"LAURINDO NUNES SABBATINI",PRP,SP,"DEPUTADO FEDERAL",250000004187
"JONES RAFAEL REINAUER ONG",PTB,SP,"DEPUTADO FEDERAL",250000002509
